Matchup,Run,Red agent,Blue agent,Winner,Turn count,Time taken seconds,Return code,Log file
agent_vs_agentMMe1,1,agent,agentMMe1,agent,45,3.6415,0,experiment_2_logs/agent_vs_agentMMe1_run_1.txt
agent_vs_agentMMe1,2,agent,agentMMe1,agent,51,3.9214,0,experiment_2_logs/agent_vs_agentMMe1_run_2.txt
agent_vs_agentMMe1,3,agent,agentMMe1,agent,45,3.0641,0,experiment_2_logs/agent_vs_agentMMe1_run_3.txt
agent_vs_agentMMe1,4,agent,agentMMe1,agent,39,3.0728,0,experiment_2_logs/agent_vs_agentMMe1_run_4.txt
agent_vs_agentMMe1,5,agent,agentMMe1,agent,51,3.5805,0,experiment_2_logs/agent_vs_agentMMe1_run_5.txt
agent_vs_agentMMe1,6,agent,agentMMe1,agent,45,3.2037,0,experiment_2_logs/agent_vs_agentMMe1_run_6.txt
agent_vs_agentMMe1,7,agent,agentMMe1,agent,49,3.5698,0,experiment_2_logs/agent_vs_agentMMe1_run_7.txt
agent_vs_agentMMe1,8,agent,agentMMe1,agent,41,3.4522,0,experiment_2_logs/agent_vs_agentMMe1_run_8.txt
agent_vs_agentMMe1,9,agent,agentMMe1,agent,47,3.6579,0,experiment_2_logs/agent_vs_agentMMe1_run_9.txt
agent_vs_agentMMe1,10,agent,agentMMe1,agent,45,3.0901,0,experiment_2_logs/agent_vs_agentMMe1_run_10.txt
agentMCTS_vs_agentMMe1,1,agentMCTS,agentMMe1,agentMCTS,31,12.2096,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_1.txt
agentMCTS_vs_agentMMe1,2,agentMCTS,agentMMe1,agentMCTS,31,12.2114,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_2.txt
agentMCTS_vs_agentMMe1,3,agentMCTS,agentMMe1,agentMCTS,39,34.8369,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_3.txt
agentMCTS_vs_agentMMe1,4,agentMCTS,agentMMe1,agentMCTS,53,51.774,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_4.txt
agentMCTS_vs_agentMMe1,5,agentMCTS,agentMMe1,agentMCTS,65,45.5024,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_5.txt
agentMCTS_vs_agentMMe1,6,agentMCTS,agentMMe1,agentMCTS,43,49.3976,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_6.txt
agentMCTS_vs_agentMMe1,7,agentMCTS,agentMMe1,Unknown,90,71.0068,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_7.txt
agentMCTS_vs_agentMMe1,8,agentMCTS,agentMMe1,agentMCTS,31,26.5849,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_8.txt
agentMCTS_vs_agentMMe1,9,agentMCTS,agentMMe1,agentMCTS,45,44.0533,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_9.txt
agentMCTS_vs_agentMMe1,10,agentMCTS,agentMMe1,agentMCTS,45,42.5126,0,experiment_2_logs/agentMCTS_vs_agentMMe1_run_10.txt
agentMCTS_vs_agent,1,agentMCTS,agent,agent,46,100.6204,0,experiment_2_logs/agentMCTS_vs_agent_run_1.txt
agentMCTS_vs_agent,2,agentMCTS,agent,agent,84,198.2258,0,experiment_2_logs/agentMCTS_vs_agent_run_2.txt
agentMCTS_vs_agent,3,agentMCTS,agent,agent,78,192.2002,0,experiment_2_logs/agentMCTS_vs_agent_run_3.txt
agentMCTS_vs_agent,4,agentMCTS,agent,agent,58,119.588,0,experiment_2_logs/agentMCTS_vs_agent_run_4.txt
agentMCTS_vs_agent,5,agentMCTS,agent,agent,78,180.221,0,experiment_2_logs/agentMCTS_vs_agent_run_5.txt
