Matchup,Run,Red agent,Blue agent,Winner,Turn count,Time taken seconds,Return code,Log file
agentMMe1_vs_agent,1,agentMMe1,agent,agent,30,4.0403,0,experiment_logs/agentMMe1_vs_agent_run_1.txt
agentMMe1_vs_agent,2,agentMMe1,agent,agent,30,3.9082,0,experiment_logs/agentMMe1_vs_agent_run_2.txt
agentMMe1_vs_agent,3,agentMMe1,agent,agent,30,3.9932,0,experiment_logs/agentMMe1_vs_agent_run_3.txt
agentMMe1_vs_agent,4,agentMMe1,agent,agent,30,4.0786,0,experiment_logs/agentMMe1_vs_agent_run_4.txt
agentMMe1_vs_agent,5,agentMMe1,agent,agent,26,3.1766,0,experiment_logs/agentMMe1_vs_agent_run_5.txt
agentMMe1_vs_agent,6,agentMMe1,agent,agent,22,2.9073,0,experiment_logs/agentMMe1_vs_agent_run_6.txt
agentMMe1_vs_agent,7,agentMMe1,agent,agent,22,2.7984,0,experiment_logs/agentMMe1_vs_agent_run_7.txt
agentMMe1_vs_agent,8,agentMMe1,agent,agent,26,3.0773,0,experiment_logs/agentMMe1_vs_agent_run_8.txt
agentMMe1_vs_agent,9,agentMMe1,agent,agent,30,4.0145,0,experiment_logs/agentMMe1_vs_agent_run_9.txt
agentMMe1_vs_agent,10,agentMMe1,agent,agent,22,2.7586,0,experiment_logs/agentMMe1_vs_agent_run_10.txt
agentMMe1_vs_agentMCTS,1,agentMMe1,agentMCTS,agentMCTS,22,6.4391,0,experiment_logs/agentMMe1_vs_agentMCTS_run_1.txt
agentMMe1_vs_agentMCTS,2,agentMMe1,agentMCTS,agentMCTS,54,46.7958,0,experiment_logs/agentMMe1_vs_agentMCTS_run_2.txt
agentMMe1_vs_agentMCTS,3,agentMMe1,agentMCTS,agentMCTS,48,48.9383,0,experiment_logs/agentMMe1_vs_agentMCTS_run_3.txt
agentMMe1_vs_agentMCTS,4,agentMMe1,agentMCTS,agentMCTS,54,46.1422,0,experiment_logs/agentMMe1_vs_agentMCTS_run_4.txt
agentMMe1_vs_agentMCTS,5,agentMMe1,agentMCTS,agentMCTS,22,6.5747,0,experiment_logs/agentMMe1_vs_agentMCTS_run_5.txt
agentMMe1_vs_agentMCTS,6,agentMMe1,agentMCTS,agentMCTS,54,46.3585,0,experiment_logs/agentMMe1_vs_agentMCTS_run_6.txt
agentMMe1_vs_agentMCTS,7,agentMMe1,agentMCTS,agentMCTS,22,6.3911,0,experiment_logs/agentMMe1_vs_agentMCTS_run_7.txt
agentMMe1_vs_agentMCTS,8,agentMMe1,agentMCTS,agentMCTS,56,51.0894,0,experiment_logs/agentMMe1_vs_agentMCTS_run_8.txt
agentMMe1_vs_agentMCTS,9,agentMMe1,agentMCTS,agentMCTS,22,6.5419,0,experiment_logs/agentMMe1_vs_agentMCTS_run_9.txt
agentMMe1_vs_agentMCTS,10,agentMMe1,agentMCTS,agentMCTS,86,65.0342,0,experiment_logs/agentMMe1_vs_agentMCTS_run_10.txt
agent_vs_agentMCTS,1,agent,agentMCTS,Unknown,230,115.6022,0,experiment_logs/agent_vs_agentMCTS_run_1.txt
agent_vs_agentMCTS,2,agent,agentMCTS,Unknown,119,118.757,0,experiment_logs/agent_vs_agentMCTS_run_2.txt
agent_vs_agentMCTS,3,agent,agentMCTS,Unknown,76,108.0507,0,experiment_logs/agent_vs_agentMCTS_run_3.txt
agent_vs_agentMCTS,4,agent,agentMCTS,Unknown,86,89.9821,0,experiment_logs/agent_vs_agentMCTS_run_4.txt
agent_vs_agentMCTS,5,agent,agentMCTS,Unknown,191,104.3564,0,experiment_logs/agent_vs_agentMCTS_run_5.txt
